system	code	label	synonyms
WD	Q4692285	aggressive periodontitis	Aggressive periodontitis; Prepubertal periodontitis; aggressive periodontitis; juvenile periodontitis; periodontitis characterized by rapid attachment loss and bone destruction
WD	Q16929803	Wimberger's sign	Wimberger's corner sign; Wimberger's sign; clinical sign for congenital syphilis
WD	Q8043043	Xanthomatous biliary cirrhosis	Xanthomatous biliary cirrhosis; disease; obstructive liver disease
WD	Q1762591	periodic health examination	diagnostic test; health examination; medical examination; medical test performed to confirm or determine the presence of disease in an individual suspected of having a disease, usually following the report of symptoms, or based on other medical test results; periodic health examination; physical examination
WD	Q17128230	Kapur–Toriello syndrome	Cleft lip/palate-facial, eye, heart and intestinal anomalies syndrome; KAPUR-TORIELLO SYNDROME; Kapur Toriello syndrome; Kapur-Toriello syndrome is an extremely rare syndrome characterized by facial dysmorphism, severe intellectual deficiency, cardiac and intestinal anomalies, and growth retardation; Kapur–Toriello syndrome; Long Columella With Cleft Lip/Palate and Eye, Heart, and Intestinal Anomalies; Long columella with cleft lip/palate and eye, heart and intestinal anomalies
WD	Q1781802	hyperekplexia	Kok disease; Startle disease; congenital stiff man syndrome; familial startle disease; hereditary hyperekplexia; hyperekplexia; nervous system disease characterized by an exaggerated startle response to sudden, unexpected auditory or tactile stimuli and hypertonia; startle disease
WD	Q18555068	renal vascular disease	Human disease; kidney vascular disorder; renal artery disease; renal vascular disease; renovascular Condition; vascular disorder of kidney
WD	Q22907918	double bubble	double bubble; radiologic sign
WD	Q8064158	Zadik–Barak–Levin syndrome	Zadik–Barak–Levin syndrome; medical condition
WD	Q18556075	external ear disease	Preauricular cyst; Preauricular sinus and fistula; Preauricular sinus or fistula; disease of external ear; disorder of external ear; external ear disease; human disease
WD	Q1269276	pompholyx	Cheiropompholyx; DYSHYDROSIS; DYSHYDROTIC ECZEMA; Dyshidrosis (disorder); Dyshidrosis NOS (disorder); Dyshidrosis unspecified (disorder); Human disease; Pompholyx; Pompholyx unspecified (disorder); Vesicular eczema of hands and/or feet; Vesicular eczema of hands and/or feet (disorder); dyshidrosis; pompholyx
WD	Q220193	premenstrual syndrome	PMS; Premenstrual Syndrome; physical and emotional symptoms that occur in the one to two weeks before a woman's period.; premenstrual syndrome; premenstrual tension
WD	Q65084702	Ultrasound-guided hip joint injection	Ultrasound-guided hip joint injection
WD	Q2121103	fecal bacteriotherapy	FMT; Fecal Microbiota Transplantation; Fecal microbiota transplant; fecal bacteriotherapy; fecal microbiota transplant; inpoosion; process of transplantation of fecal bacteria from a healthy individual into a recipient; stool transplant
WD	Q337585	intraductal carcinoma of the breast	DCIS; Human disease; ductal carcinoma in situ; intraductal carcinoma of the breast
WD	Q11612337	lumbar spondylosis	a degenerative condition of the lower spine (lumbar) that causes pain and stiffness, often referred to as osteoarthritis of the spine.; lumbar spondylosis
WD	Q55787057	apodia	Congenital absence of foot; apodia; human disease
WD	Q12018065	gangrenous dermatitis	gangrenous dermatitis; poultry disease
WD	Q25091275	Ovarian drilling	Ovarian drilling; medical procedure that treats infertility
WD	Q18556153	papillary transitional carcinoma	Papillary Transitional Carcinoma; Papillary Transitional Cell Carcinoma; Papillary transitional cell carcinoma; Papillary transitional cell carcinoma (morphologic abnormality); papillary transitional carcinoma; papillary transitional cell carcinoma; transitional cell carcinoma that has several papillary fronds with central fibrovascular core lined by transitional type epithelium
WD	Q3287182	Nélaton maneuver	Nélaton maneuver
WD	Q16678468	Elpenor’s Syndrome	Elpenor’s Syndrome; confusional arousal; sleep drunkenness; subwakefullness syndrome
WD	Q3335666	diastrophic dysplasia	DIASTROPHIC DYSPLASIA; DTD; Dd; Diastrophic Dysplasia, Broad Bone-Platyspondylic Variant; Diastrophic dwarfism; diastrophic dysplasia; osteochondrodysplasia that has material basis in abnormal cartilage development due to mutations in the SLC26A2 gene which results in short limb dwarfism
WD	Q18480060	gonococcal conjunctivitis	gonococcal conjunctivitis
WD	Q1263876	scalenus syndrome	scalenus syndrome
WD	Q61913411	orofacial cleft 7	Zlotogora-Ogur syndrome; orofacial cleft 7; orofacial cleft that has material basis in by homozygous mutation in the PVRL1 gene on chromosome 11q23
WD	Q18553398	Bowen-Conradi syndrome	BOWEN-CONRADI SYNDROME; BWCNS; Bowen Hutterite Syndrome; Bowen Hutterite Syndrome, Formerly; Bowen Hutterite syndrome (formerly); Bowen syndrome, Hutterite type; Bowen-Conradi Hutterite syndrome; Bowen-Conradi syndrome; Bowen–Conradi syndrome; Human disease
WD	Q11296337	Garre's sclerosing osteomyelitis	Garre's sclerosing osteomyelitis; periostitis ossificans; rare infectious disease
WD	Q11829288	chronic pharyngitis	chronic pharyngitis
WD	Q3083434	endometrial polyp	Endometrial Polyp; Endometrial Stromal Polyp; POLYP, ENDOMETRIAL STROMAL, BENIGN; Polyp of Endometrium; Polyp of the Endometrium; endometrial polyp; endometrium polyp; medical condition
WD	Q1417007	Wobbler disease	Wobbler disease; neurological condition of dogs and horses
WD	Q5140809	coenzyme Q10 deficiency disease	COENZYME Q10 DEFICIENCY, PRIMARY; COENZYME Q10 DEFICIENCY, PRIMARY, 1; COQ10D1; Coenzyme Q Deficiency 1; Coenzyme Q10 Deficiency, Primary, type 1; Coq Deficiency 1; Coq10 Deficiency, Primary, 1; Ubiquinone Deficiency 1; coenzyme Q10 deficiency; coenzyme Q10 deficiency disease; mitochondrial metabolism disease that is characterized by a deficiency of CoQ10 resulting from reduced biosynthesis
WD	Q12761836	acetonaemia in cows	acetonaemia in cows
WD	Q7232210	Portopulmonary hypertension	PAH associated with portal hypertension; POPH; Portopulmonary hypertension; medical condition
WD	Q5114603	chrysiasis	aurochromoderma; chrysiasis; dermatological condition induced by the parenteral administration of gold salts
WD	Q3043051	bovine leucocyte adhesion deficiency	BLAD; bovine leucocyte adhesion deficiency
WD	Q16511190	Morbus	Latin term for sickness, used in many disease names; Morbus
WD	Q3134277	abdominal hernia	abdominal hernia
WD	Q18109708	aerial yoga	A yoga practice combining traditional yoga poses, Pilates, and dance with the use of a hammock; aerial yoga; anti-gravity yoga
WD	Q56014469	bone sarcoma	Bone Sarcoma; Osseous Sarcoma; Sarcoma of Bone; Sarcoma of the Bone; Skeletal Sarcoma; a sarcoma that arises from the bone, for example osteosarcoma and chondrosarcoma; bone sarcoma
WD	Q1345746	keratitis–ichthyosis–deafness syndrome	Desmons Syndrome; ICHTHYOSIFORM ERYTHRODERMA, CORNEAL INVOLVEMENT, AND DEAFNESS; Keratitis-Ichthyosis-Deafness Syndrome, Autosomal Recessive; Kid Syndrome, Autosomal Recessive; human disease; keratitis–ichthyosis–deafness syndrome
WD	Q18070807	morning glory disc anomaly	Coloboma of optic disc; Coloboma of optic disc (disorder); MGDA; Morning Glory Disc Anomaly; Morning glory syndrome; Optic Nerve Head Pits, Bilateral Congenital; coloboma of optic nerve; congenital deformity resulting from failure of the optic nerve to completely form in utero; morning glory disc anomaly
WD	Q1662323	infantilism	infantilism; physiological trouble
WD	Q186892	claustrophobia	claustrophobia; fear of confined spaces; fear of small spaces
WD	Q7902651	uterine inversion	human disease; uterine inversion
WD	Q181754	heart failure	CF; Cardiovascular insufficiency; HF; cardiac failure; cardiac insufficiency; congestive cardiac failure; congestive heart failure; failure of the heart to provide sufficient blood flow; heart failure
WD	Q1746068	clavicle fracture	clavicle fracture; medical condition
WD	Q3199902	urethral cancer	Carcinoma of the Urethra; Urethral Cancer; Urethral Carcinoma; cancer of urethra; malignant tumour of urethra; malignant urethral neoplasm; urethra cancer; urethra carcinoma; urethral Ca; urethral cancer; urinary tract cancer that derives from the tissues of the urethra
WD	Q6059563	2009-2010 H1N1 pandemic in Panamá	2009-2010 H1N1 pandemic in Panamá
WD	Q7998674	widened mediastinum	widened mediastinum
WD	Q6839434	Microcystic adnexal carcinoma	Microcystic adnexal carcinoma; medical condition
WD	Q112842529	yellow leaf blister of poplar	yellow leaf blister of poplar
WD	Q2031871	vibration white finger	HAVS; VWF; dead finger; hand arm vibration syndrome; hand-arm vibration syndrome; industrial injury; vibration white finger
WD	Q2138853	vision rehabilitation	medical rehabilitation measures to improve vision; rehabilitation of vision; vision impairment rehabilitation; vision rehab; vision rehabilitation
WD	Q4394144	lattice corneal dystrophy	Human disease; Lattice corneal dystrophy (disorder); Lattice corneal dystrophy [Ambiguous]; familial amyloid neuropathy, Finnish type; familial amyloid neuropathy, Finnish type (disorder); lattice corneal dystrophy
WD	Q492248	Hartmann's operation	Hartmann's operation; Hartmann's procedure; proctosigmoidectomy; surgical resection of the rectosigmoid colon with closure of the anorectal stump and formation of an end colostomy
WD	Q7200298	Placental infarction	Human disease; Placental infarct; Placental infarct (disorder); Placental infarction; obsolete placental infarction; placental infarction
WD	Q7295649	Rathke's cleft cyst	Benign cystic growth on the pituitary gland; Rathke's cleft cyst
WD	Q4817694	Atrophoderma of Pasini and Pierini	Atrophoderma of Pasini and Pierini; Congenital atrophoderma of Pasini and Pierini; Idiopathic atrophoderma of Pasini and Pierini
WD	Q646664	rickettsiosis	Human disease; Infections, Rickettsia; Rickettsia Infection; Rickettsia Infections; Rickettsialpox; flea-borne rickettsiosis; mite-borne rickettsiosis; rickettsia infection; rickettsiosis; tick-borne rickettsiosis
WD	Q7186555	phlyctenulosis	Human disease; Phlyctenular keratoconjunctivitis; Strumous ophthalmia; phlyctenulosis
WD	Q12859169	necrotising arachnidism	Necrotic Arachnidism; necrotising arachnidism
WD	Q4817566	Atrioventricular fistula	Atrioventricular fistula; medical condition of the heart
WD	Q6967220	nasodigitoacoustic syndrome	Keipert syndrome; NASODIGITOACOUSTIC SYNDROME; Rare X-linked recessive genetic syndrome; nasodigitoacoustic syndrome
WD	Q5518623	Galileo	Galileo; Vibraflex; vibration training machine
WD	Q18556899	trigeminal nerve disease	Human disease; disease of trigeminal nerve; disorder of trigeminal nerve; trigeminal nerve disease
WD	Q115519121	Transgender asylum seekers	Transgender asylum seekers; transgender people seeking refugee status
WD	Q12340591	Vater	Danish name for deformities; Vater
WD	Q806712	Bankart lesion	Bankart lesion; Bankart lesions; injury of the anterior glenoid labrum of the shoulder
